Date,rate_ISRG_5D,rate_ISRG_20D,rate_VOO_5D,rate_VOO_20D
2023-01-19,-11.174000000000001,-9.078,-10.256,-12.1635
2023-01-20,-11.185999999999998,-9.163499999999999,-10.308,-11.978
2023-01-23,-11.386,-9.33,-10.213999999999999,-11.802
2023-01-24,-11.642,-9.422999999999998,-10.113999999999999,-11.571000000000002
2023-01-25,-12.498,-9.742999999999999,-9.72,-11.362
2023-01-26,-12.629999999999999,-9.968,-9.012,-11.089
2023-01-27,-13.278,-10.2135,-8.57,-10.751
2023-01-30,-14.216,-10.6395,-8.568,-10.5435
2023-01-31,-15.053999999999998,-10.969,-8.291999999999998,-10.261
2023-02-01,-14.49,-11.2035,-7.794,-9.921
2023-02-02,-13.74,-11.346999999999998,-7.231999999999999,-9.5475
2023-02-03,-13.180000000000001,-11.5715,-6.914,-9.175500000000001
2023-02-06,-12.656,-11.9205,-6.473999999999999,-8.925
2023-02-07,-12.09,-12.107,-6.09,-8.622
2023-02-08,-12.246,-12.4745,-6.104,-8.3925
2023-02-09,-13.366,-12.727500000000001,-6.5040000000000004,-8.251000000000001
2023-02-10,-13.998,-12.910499999999999,-6.6739999999999995,-8.1165
2023-02-13,-14.258,-13.129,-6.564,-7.955
2023-02-14,-15.074000000000002,-13.465,-6.6579999999999995,-7.788500000000001
2023-02-15,-15.351999999999999,-13.646499999999998,-6.531999999999999,-7.5375
2023-02-16,-15.626,-13.840499999999997,-6.478,-7.3065
2023-02-17,-16.06,-14.129,-6.5,-7.164500000000001
2023-02-21,-16.85,-14.495,-6.984,-7.147500000000001
2023-02-22,-17.363999999999997,-14.895500000000002,-7.4799999999999995,-7.13
2023-02-23,-18.038,-15.0315,-7.956,-7.096500000000001
2023-02-24,-18.662,-15.348499999999998,-8.379999999999999,-7.1485
2023-02-27,-19.152,-15.597500000000002,-8.716,-7.2010000000000005
2023-02-28,-19.439999999999998,-15.801000000000002,-8.828,-7.2125
2023-03-01,-19.772,-16.075,-8.937999999999999,-7.291500000000001
2023-03-02,-20.092000000000002,-16.432,-9.001999999999999,-7.3985
2023-03-03,-19.748,-16.8505,-8.663999999999998,-7.5065
2023-03-06,-19.454,-17.166,-8.358,-7.561999999999999
2023-03-07,-19.28,-17.457,-8.256,-7.6579999999999995
2023-03-08,-19.034,-17.811,-8.112,-7.797
2023-03-09,-19.062,-18.136000000000003,-8.396,-7.971499999999999
2023-03-10,-19.75,-18.4465,-9.168000000000001,-8.1725
2023-03-13,-20.23,-18.723999999999997,-9.985999999999999,-8.389999999999999
2023-03-14,-19.913999999999998,-18.871000000000002,-10.256,-8.581
2023-03-15,-19.7,-18.967499999999998,-10.658,-8.797
2023-03-16,-18.881999999999998,-19.0185,-10.453999999999999,-8.952
2023-03-17,-17.99,-19.0375,-10.203999999999999,-9.104000000000001
2023-03-20,-17.118000000000002,-18.988500000000002,-9.768,-9.206999999999999
2023-03-21,-16.336000000000002,-18.7425,-9.384,-9.181000000000001
