Date,rate_LRCX,rate_LRCX_5D,rate_LRCX_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2023-03-31,-4.54,-7.818,-9.712,-6.05,-7.8740000000000006,-9.079
2023-04-03,-5.93,-6.878,-9.383999999999999,-5.56,-7.19,-8.991000000000001
2023-04-04,-8.97,-6.168,-9.160499999999999,-6.08,-6.578,-8.8625
2023-04-05,-10.87,-6.926,-9.1495,-6.3,-6.264,-8.7515
2023-04-06,-10.82,-8.226,-9.1095,-5.95,-5.988,-8.545
2023-04-10,-8.41,-9.0,-8.851,-5.85,-5.9479999999999995,-8.274
2023-04-11,-8.4,-9.494,-8.575999999999999,-5.84,-6.004,-7.9955
2023-04-12,-10.24,-9.748000000000001,-8.541,-6.21,-6.029999999999999,-7.806
2023-04-13,-10.01,-9.575999999999999,-8.434000000000001,-5.01,-5.772,-7.529999999999999
2023-04-14,-9.57,-9.325999999999999,-8.550500000000001,-5.2,-5.622,-7.337000000000001
